City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
mar del plata,AR,-38.0023,-57.5575,60.82,30,0,3.0,clear sky,2021-08-06 21:47:58
mar del plata,AR,-38.0023,-57.5575,60.82,30,0,3.0,clear sky,2021-08-06 21:47:58
hargeysa,SO,9.56,44.065,75.27,46,69,20.96,broken clouds,2021-08-06 21:48:24
mandali,IQ,33.7499,45.5541,97.61,16,52,1.07,broken clouds,2021-08-06 21:48:24
new norfolk,AU,-42.7826,147.0587,51.71,69,100,7.0,light rain,2021-08-06 21:48:25
phaltan,IN,17.9833,74.4333,76.21,75,97,5.57,overcast clouds,2021-08-06 21:48:25
praia,CV,14.9215,-23.5087,79.34,78,75,9.22,broken clouds,2021-08-06 21:48:26
nome,US,64.5011,-165.4064,53.17,93,90,9.22,overcast clouds,2021-08-06 21:48:26
conceicao da barra,BR,-18.5933,-39.7322,68.97,70,60,9.95,broken clouds,2021-08-06 21:48:26
mataura,NZ,-46.1927,168.8643,40.48,95,100,8.28,light rain,2021-08-06 21:48:13
kapaa,US,22.0752,-159.319,84.52,79,75,3.0,light rain,2021-08-06 21:46:36
batsfjord,NO,70.6345,29.7185,58.93,62,0,10.36,clear sky,2021-08-06 21:48:27
albany,US,42.6001,-73.9662,87.76,52,7,2.73,clear sky,2021-08-06 21:44:07
simao,CN,22.7886,100.9748,64.96,99,100,1.59,overcast clouds,2021-08-06 21:48:27
lompoc,US,34.6391,-120.4579,90.79,72,1,12.66,mist,2021-08-06 21:45:57
pevek,RU,69.7008,170.3133,43.11,68,39,5.97,scattered clouds,2021-08-06 21:48:28
shawnee,US,39.05,-95.7669,94.57,55,1,4.0,clear sky,2021-08-06 21:47:01
hoi an,VN,15.8794,108.335,85.96,69,100,9.1,overcast clouds,2021-08-06 21:45:12
hobart,AU,-42.8794,147.3294,52.05,70,75,4.0,light intensity drizzle,2021-08-06 21:45:09
khatanga,RU,71.9667,102.5,53.53,60,0,7.94,clear sky,2021-08-06 21:48:29
esperance,AU,-33.8667,121.9,49.84,53,0,17.27,clear sky,2021-08-06 21:48:21
ushuaia,AR,-54.8,-68.3,37.06,56,40,23.02,light rain,2021-08-06 21:48:06
tigil,RU,57.8,158.6667,54.88,71,70,9.82,broken clouds,2021-08-06 21:48:29
becerril,CO,9.7041,-73.2793,94.62,43,55,3.78,broken clouds,2021-08-06 21:48:30
faanui,PF,-16.4833,-151.75,78.94,70,14,9.86,few clouds,2021-08-06 21:48:30
mataura,NZ,-46.1927,168.8643,40.48,95,100,8.28,light rain,2021-08-06 21:48:13
tskaltubo,GE,42.3254,42.5979,83.34,42,0,17.27,clear sky,2021-08-06 21:48:31
khatanga,RU,71.9667,102.5,53.53,60,0,7.94,clear sky,2021-08-06 21:48:29
dingle,PH,10.9995,122.6711,76.93,90,63,7.09,light rain,2021-08-06 21:48:31
cam ranh,VN,11.9214,109.1591,82.36,74,20,2.3,few clouds,2021-08-06 21:48:31
punta arenas,CL,-53.15,-70.9167,35.71,69,40,28.77,light rain,2021-08-06 21:45:22
katsuura,JP,35.1333,140.3,84.31,86,96,8.08,overcast clouds,2021-08-06 21:48:32
new norfolk,AU,-42.7826,147.0587,51.71,69,100,7.0,light rain,2021-08-06 21:48:25
vaini,TO,-21.2,-175.2,75.36,83,20,12.66,few clouds,2021-08-06 21:48:22
tambura,SS,5.6,27.4667,68.09,98,96,4.05,light rain,2021-08-06 21:48:33
rikitea,PF,-23.1203,-134.9692,74.57,75,15,13.69,few clouds,2021-08-06 21:48:14
zhigansk,RU,66.7697,123.3711,57.31,46,74,5.08,broken clouds,2021-08-06 21:48:33
longyearbyen,SJ,78.2186,15.6401,46.24,61,75,6.91,broken clouds,2021-08-06 21:48:33
hobart,AU,-42.8794,147.3294,52.05,70,75,4.0,light intensity drizzle,2021-08-06 21:45:09
castro,BR,-24.7911,-50.0119,55.99,88,90,5.93,overcast clouds,2021-08-06 21:48:34
airai,TL,-8.9266,125.4092,52.68,76,34,4.0,scattered clouds,2021-08-06 21:48:34
otane,NZ,-39.8833,176.6333,56.01,78,45,8.21,scattered clouds,2021-08-06 21:48:34
otorohanga,NZ,-38.1833,175.2,56.97,87,57,9.95,broken clouds,2021-08-06 21:48:35
nipawin,CA,53.3668,-104.0009,80.64,57,1,11.5,clear sky,2021-08-06 21:48:35
grand gaube,MU,-20.0064,57.6608,70.2,70,46,5.01,scattered clouds,2021-08-06 21:48:35
thompson,CA,55.7435,-97.8558,71.76,37,90,4.61,smoke,2021-08-06 21:48:04
rio grande,BR,-32.035,-52.0986,60.91,87,100,11.03,overcast clouds,2021-08-06 21:48:36
bredasdorp,ZA,-34.5322,20.0403,54.72,94,0,2.3,clear sky,2021-08-06 21:48:05
geraldton,AU,-28.7667,114.6,54.01,62,40,16.11,scattered clouds,2021-08-06 21:48:36
urumqi,CN,43.801,87.6005,70.75,40,0,4.47,clear sky,2021-08-06 21:48:37
ushuaia,AR,-54.8,-68.3,37.06,56,40,23.02,light rain,2021-08-06 21:48:06
mataura,NZ,-46.1927,168.8643,40.48,95,100,8.28,light rain,2021-08-06 21:48:13
atuona,PF,-9.8,-139.0333,78.26,77,17,18.12,few clouds,2021-08-06 21:48:17
ushuaia,AR,-54.8,-68.3,37.06,56,40,23.02,light rain,2021-08-06 21:48:06
tuktoyaktuk,CA,69.4541,-133.0374,41.0,93,90,16.11,light rain,2021-08-06 21:48:38
aveiras de cima,PT,39.138,-8.8993,70.02,90,8,5.28,clear sky,2021-08-06 21:48:38
tezu,IN,27.9167,96.1667,75.88,97,85,3.85,overcast clouds,2021-08-06 21:48:38
takoradi,GH,4.8845,-1.7554,75.65,83,66,10.11,broken clouds,2021-08-06 21:48:38
hilo,US,19.7297,-155.09,82.13,77,90,6.91,moderate rain,2021-08-06 21:44:21
zhoucheng,CN,35.9122,116.3117,75.25,91,100,2.15,overcast clouds,2021-08-06 21:48:39
port alfred,ZA,-33.5906,26.891,57.7,80,31,4.47,scattered clouds,2021-08-06 21:48:39
hay river,CA,60.8156,-115.7999,69.78,64,75,8.05,broken clouds,2021-08-06 21:46:11
airai,TL,-8.9266,125.4092,52.68,76,34,4.0,scattered clouds,2021-08-06 21:48:34
khorinsk,RU,52.1657,109.7726,57.51,93,100,2.04,moderate rain,2021-08-06 21:48:40
fortuna,US,40.5982,-124.1573,92.48,66,20,7.0,few clouds,2021-08-06 21:48:19
hobart,AU,-42.8794,147.3294,52.05,70,75,4.0,light intensity drizzle,2021-08-06 21:45:09
san patricio,US,28.017,-97.5169,91.29,54,78,12.68,broken clouds,2021-08-06 21:48:06
busselton,AU,-33.65,115.3333,49.05,73,36,14.67,scattered clouds,2021-08-06 21:48:02
aksehir,TR,38.3575,31.4164,77.45,27,100,4.14,overcast clouds,2021-08-06 21:48:41
stornoway,GB,58.2093,-6.3865,58.96,94,75,16.11,broken clouds,2021-08-06 21:48:41
hermanus,ZA,-34.4187,19.2345,53.91,87,0,6.22,clear sky,2021-08-06 21:48:20
ushuaia,AR,-54.8,-68.3,37.06,56,40,23.02,light rain,2021-08-06 21:48:06
manyoni,TZ,-5.7467,34.8382,63.52,64,4,6.76,clear sky,2021-08-06 21:48:42
rikitea,PF,-23.1203,-134.9692,74.57,75,15,13.69,few clouds,2021-08-06 21:48:14
victoria,HK,22.2855,114.1577,85.21,93,95,4.0,overcast clouds,2021-08-06 21:47:59
bluff,NZ,-46.6,168.3333,40.8,69,100,22.55,light rain,2021-08-06 21:48:42
atuona,PF,-9.8,-139.0333,78.26,77,17,18.12,few clouds,2021-08-06 21:48:17
cidreira,BR,-30.1811,-50.2056,61.18,92,100,17.31,overcast clouds,2021-08-06 21:48:42
lakatoro,VU,-16.0999,167.4164,78.04,74,56,10.65,broken clouds,2021-08-06 21:48:43
sao miguel do araguaia,BR,-13.275,-50.1628,79.63,28,71,5.57,broken clouds,2021-08-06 21:48:43
ust-nera,RU,64.5667,143.2,59.88,54,3,3.22,clear sky,2021-08-06 21:48:43
zyryanka,RU,65.75,150.85,52.11,72,96,7.92,overcast clouds,2021-08-06 21:48:44
bengkulu,ID,-3.8004,102.2655,75.34,91,86,3.8,overcast clouds,2021-08-06 21:48:44
ushuaia,AR,-54.8,-68.3,37.06,56,40,23.02,light rain,2021-08-06 21:48:06
nome,US,64.5011,-165.4064,53.17,93,90,9.22,overcast clouds,2021-08-06 21:48:26
leh,IN,34.1667,77.5833,59.4,54,24,5.12,few clouds,2021-08-06 21:48:45
henties bay,NA,-22.116,14.2845,54.86,82,2,8.08,clear sky,2021-08-06 21:48:45
carnarvon,AU,-24.8667,113.6333,62.67,60,90,5.75,overcast clouds,2021-08-06 21:48:45
busselton,AU,-33.65,115.3333,49.05,73,36,14.67,scattered clouds,2021-08-06 21:48:02
aykhal,RU,66.0,111.5,50.54,65,87,14.16,overcast clouds,2021-08-06 21:48:46
oussouye,SN,12.485,-16.5469,80.69,82,96,12.26,light rain,2021-08-06 21:48:46
atuona,PF,-9.8,-139.0333,78.26,77,17,18.12,few clouds,2021-08-06 21:48:17
cidreira,BR,-30.1811,-50.2056,61.18,92,100,17.31,overcast clouds,2021-08-06 21:48:42
airai,TL,-8.9266,125.4092,52.68,76,34,4.0,scattered clouds,2021-08-06 21:48:34
souillac,MU,-20.5167,57.5167,70.18,68,75,14.97,light rain,2021-08-06 21:46:18
vaini,TO,-21.2,-175.2,75.36,83,20,12.66,few clouds,2021-08-06 21:48:22
provideniya,RU,64.3833,-173.3,48.24,83,100,0.51,light rain,2021-08-06 21:48:47
juneau,US,58.3019,-134.4197,60.85,95,90,5.01,light rain,2021-08-06 21:48:48
kaoma,ZM,-14.7833,24.8,55.89,29,0,5.73,clear sky,2021-08-06 21:48:48
bambous virieux,MU,-20.3428,57.7575,70.05,68,75,14.97,light rain,2021-08-06 21:48:48
yatou,CN,37.15,122.3833,74.26,82,53,2.59,broken clouds,2021-08-06 21:48:49
barrow,US,71.2906,-156.7887,37.42,93,90,9.22,overcast clouds,2021-08-06 21:44:25
barrow,US,71.2906,-156.7887,37.42,93,90,9.22,overcast clouds,2021-08-06 21:44:25
dingle,PH,10.9995,122.6711,76.93,90,63,7.09,light rain,2021-08-06 21:48:31
san patricio,US,28.017,-97.5169,91.29,54,78,12.68,broken clouds,2021-08-06 21:48:06
